qid,doi,title,facet_sim_0,facet_sim_1,facet_sim_2,facet_sim_0_above_floor,facet_sim_1_above_floor,facet_sim_2_above_floor,facet_sims_geometric_mean,single_vector_sim,geography_hit,year,age_years,citation_count,citation_rate,sms_level,has_abstract,abstract_length,abs_rating_numeric,repec_percentile,label,label_int
q01-teacher-incentives-hard-staff,10.1002/pam.22037,The Impact of Incentives to Recruit and Retain Teachers in “Hard‐to‐Staff” Subjects,0.6254,0.639,0.7419,1,1,1,0.6668,0.8306,0,2017,9,132,13.2,4,1,1019,3,0.5,relevant,2
q01-teacher-incentives-hard-staff,10.18235/0013366,Impact of Monetary Incentives on Teacher Decisions to Leave and Choose Schools: Evidence from a Policy Reform in São Paulo (en),0.6517,0.6083,0.6768,1,1,1,0.645,0.8018,1,2025,1,0,0,0,1,1154,0,0.5,relevant,2
q01-teacher-incentives-hard-staff,10.1002/pam.21818,"Incentives, Selection, and Teacher Performance: Evidence from IMPACT",0.6309,0.627,0.7051,1,1,1,0.6534,0.7834,0,2015,11,0,0,4,1,1484,3,0.5,partial,1
q01-teacher-incentives-hard-staff,10.3386/w19529,"Incentives, Selection, and Teacher Performance: Evidence from IMPACT",0.6309,0.627,0.7051,1,1,1,0.6534,0.7834,0,2013,13,216,15.4286,4,1,1484,0,0.5,partial,1
q01-teacher-incentives-hard-staff,10.1016/j.econedurev.2018.06.010,Do bonuses affect teacher staffing and student achievement in high poverty schools? Evidence from an incentive for national board certified teachers in Washington State,0.6667,0.6524,0.69,1,1,1,0.6695,0.775,0,2018,8,10,1.1111,4,1,812,2,0.95,relevant,2
q01-teacher-incentives-hard-staff,10.1257/aer.102.4.1241,Incentives Work: Getting Teachers to Come to School,0.6787,0.651,0.687,1,1,1,0.6721,0.7721,0,2012,14,187,12.4667,5,1,690,5,1,partial,1
q01-teacher-incentives-hard-staff,10.1086/666955,Tournament Incentives for Teachers: Evidence from a Scaled-Up Intervention in Chile,0.6667,0.5925,0.6246,1,1,1,0.6272,0.7656,1,2012,14,51,3.4,4,1,843,3,0.962,partial,1
q01-teacher-incentives-hard-staff,10.1002/pam.22375,Can Financial Incentives Help Disadvantaged Schools to Attract and Retain High‐Performing Teachers? Evidence from Chile,0.6827,0.614,0.68,1,1,1,0.6581,0.7656,1,2022,4,13,2.6,4,1,1005,3,0.5,relevant,2
q01-teacher-incentives-hard-staff,10.3386/w31051,Attracting and Retaining Highly Effective Educators in Hard-to-Staff Schools,0.6019,0.6476,0.7374,1,1,1,0.66,0.7592,0,2023,3,9,2.25,0,1,1243,0,0.5,relevant,2
q01-teacher-incentives-hard-staff,10.3386/w18439,Incentive Strength and Teacher Productivity: Evidence from a Group-Based Teacher Incentive Pay System,0.6703,0.6131,0.6325,1,1,1,0.6382,0.7475,0,2012,14,9,0.6,1,1,1549,0,0.5,partial,1
q01-teacher-incentives-hard-staff,10.1002/pam.22146,Teacher Incentives and Student Achievement: Evidence from an Advancement Program,0.6339,0.5971,0.6209,1,1,1,0.6171,0.7441,0,2019,7,14,1.75,4,1,949,3,0.5,partial,1
q01-teacher-incentives-hard-staff,10.3386/w21598,Achievement Effects of Individual Performance Incentives in a Teacher Merit Pay Tournament,0.6358,0.5901,0.643,1,1,1,0.6225,0.7436,0,2015,11,6,0.5,0,1,1295,0,0.5,partial,1
