qid,doi,title,facet_sim_0,facet_sim_1,facet_sim_2,facet_sim_0_above_floor,facet_sim_1_above_floor,facet_sim_2_above_floor,facet_sims_geometric_mean,single_vector_sim,geography_hit,geography_stored_lac,geography_stored_none,year,age_years,citation_count,citation_rate,sms_level,has_abstract,abstract_length,abs_rating_numeric,repec_percentile,label,label_int
q01-teacher-incentives-hard-staff,10.1002/pam.22037,The Impact of Incentives to Recruit and Retain Teachers in “Hard‐to‐Staff” Subjects,0.7764,0.6778,0.6969,1,1,1,0.7158,0.8307,0,0,0,2017,9,132,13.2,4,1,1019,3,0.5,relevant,2
q01-teacher-incentives-hard-staff,10.18235/0013366,Impact of Monetary Incentives on Teacher Decisions to Leave and Choose Schools: Evidence from a Policy Reform in São Paulo (en),0.7927,0.599,0.7058,1,1,1,0.6946,0.8023,1,1,0,2025,1,1,0.5,4,1,1154,0,0.5,relevant,2
q01-teacher-incentives-hard-staff,10.1002/pam.21818,"Incentives, Selection, and Teacher Performance: Evidence from IMPACT",0.7715,0.6409,0.756,1,1,1,0.7203,0.7838,0,0,0,2015,11,216,18,4,1,1484,3,0.5,partial,1
q01-teacher-incentives-hard-staff,10.3386/w19529,"Incentives, Selection, and Teacher Performance: Evidence from IMPACT",0.7715,0.6409,0.756,1,1,1,0.7203,0.7838,0,0,0,2013,13,216,15.4286,4,1,1484,0,0.5,partial,1
q01-teacher-incentives-hard-staff,10.1016/j.econedurev.2018.06.010,Do bonuses affect teacher staffing and student achievement in high poverty schools? Evidence from an incentive for national board certified teachers in Washington State,0.8005,0.6529,0.6889,1,1,1,0.7114,0.7753,0,0,0,2018,8,10,1.1111,4,1,812,2,0.95,relevant,2
q01-teacher-incentives-hard-staff,10.1257/aer.102.4.1241,Incentives Work: Getting Teachers to Come to School,0.7683,0.6245,0.6801,1,1,1,0.6885,0.7725,0,0,0,2012,14,187,12.4667,5,1,690,5,1,partial,1
q01-teacher-incentives-hard-staff,10.1086/666955,Tournament Incentives for Teachers: Evidence from a Scaled-Up Intervention in Chile,0.7386,0.5945,0.6593,1,1,1,0.6615,0.7659,1,1,0,2012,14,51,3.4,4,1,843,3,0.962,partial,1
q01-teacher-incentives-hard-staff,10.1002/pam.22375,Can Financial Incentives Help Disadvantaged Schools to Attract and Retain High‐Performing Teachers? Evidence from Chile,0.7831,0.6283,0.6828,1,1,1,0.6952,0.766,1,1,0,2022,4,13,2.6,4,1,1005,3,0.5,relevant,2
q01-teacher-incentives-hard-staff,10.3386/w31051,Attracting and Retaining Highly Effective Educators in Hard-to-Staff Schools,0.7698,0.7105,0.7423,1,1,1,0.7405,0.7594,0,0,0,2023,3,9,2.25,4,1,1243,0,0.5,relevant,2
q01-teacher-incentives-hard-staff,10.3386/w34845,Is Teacher Effectiveness Fully Portable? Evidence from the Random Assignment of Transfer Incentives,0.6999,0.6645,0.6736,1,1,1,0.6792,0.733,0,0,1,2026,0,0,0,5,1,777,0,0.5,partial,1
q01-teacher-incentives-hard-staff,10.3386/w18439,Incentive Strength and Teacher Productivity: Evidence from a Group-Based Teacher Incentive Pay System,0.7585,0.5805,0.6787,1,1,1,0.6686,0.7477,0,0,1,2012,14,9,0.6,1,1,1549,0,0.5,partial,1
q01-teacher-incentives-hard-staff,10.1002/pam.22146,Teacher Incentives and Student Achievement: Evidence from an Advancement Program,0.7744,0.6001,0.7302,1,1,1,0.6975,0.7444,0,0,0,2019,7,14,1.75,4,1,949,3,0.5,partial,1
q01-teacher-incentives-hard-staff,10.18235/0001820,Can Financial Incentives Help Disadvantaged Schools to Attract and Retain High-performing Teachers?: Evidence from Chile (en),0.752,0.6891,0.7324,1,1,1,0.724,0.7225,1,1,0,2019,7,11,1.375,4,1,1401,0,0.5,relevant,2
